state,county,current_votes,trump_votes,percent_trump_votes
Alaska,ED 40,4628,1994,43.09%
Alaska,ED 4,10587,4690,44.30%
Alaska,ED 5,8706,4077,46.83%
Alaska,ED 6,9518,5770,60.62%
Alaska,ED 7,9664,7027,72.71%
Alaska,ED 8,9957,7618,76.51%
Alaska,ED 9,11047,7787,70.49%
Arizona,Navajo County,51783,27657,53.41%
Arizona,Pima County,520735,207758,39.90%
Arizona,Pinal County,185037,107077,57.87%
Arizona,Santa Cruz County,19561,6194,31.67%
Arizona,Yavapai County,143280,91527,63.88%
Arizona,Yuma County,69926,36534,52.25%
Arizona,Apache County,35183,11442,32.52%
Arizona,Cochise County,60473,35557,58.80%
Arizona,Coconino County,73346,27052,36.88%
Arizona,Gila County,27678,18377,66.40%
Arizona,Graham County,14996,10749,71.68%
Arizona,Greenlee County,3688,2433,65.97%
Arizona,La Paz County,7460,5129,68.75%
Arizona,Maricopa County,2069475,995665,48.11%
Arizona,Mohave County,104705,78535,75.01%
Arkansas,Clark County,8395,4616,54.99%
Arkansas,Clay County,5183,4086,78.83%
Arkansas,Cleburne County,12680,10328,81.45%
Arkansas,Cleveland County,3600,2867,79.64%
Arkansas,Columbia County,8616,5500,63.83%
Arkansas,Conway County,8685,5694,65.56%
Arkansas,Craighead County,38511,25558,66.37%
Arkansas,Crawford County,24091,18607,77.24%
Arkansas,Crittenden County,16367,7333,44.80%
Arkansas,Cross County,6942,4946,71.25%
Arkansas,Arkansas County,6292,4304,68.40%
Arkansas,Dallas County,2649,1573,59.38%
Arkansas,Desha County,4164,1921,46.13%
Arkansas,Drew County,6908,4349,62.96%
Arkansas,Faulkner County,54428,34421,63.24%
Arkansas,Franklin County,7129,5677,79.63%
Arkansas,Fulton County,5119,3961,77.38%
